Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Organization Description,Organization Website,Number of Funding Rounds,Organization Industries,Organization Location,Lead Investors,has_analysis,uses_genai,patterns
Skala,https://www.skalasuite.com,,,,,2022-01-01,,Online MRP software for small business,https://www.skalasuite.com,,"Smart manufacturing, Artificial intelligence, SaaS","Istanbul, Turkey, Asia",,true,true,
AGENTSCOPE.AI,https://www.agentscope.ai,,,,,2022-01-01,,AI-powered Apps creation service,https://www.agentscope.ai,,Artificial intelligence,"Ankara, Turkey, Asia",,true,true,
Destek AL,https://www.destekalbusiness.com,,,,,2021-01-01,,"Solutions in software development, digital marketing, and educational technologies",https://www.destekalbusiness.com,,"Agency, Marketingtech, Artificial intelligence","Ankara, Turkey, Asia",,true,true,
Wisest Yazılım,https://wisestyazilim.com,,,,,2021-01-01,,Software development and custom software project creation services,https://wisestyazilim.com,,"Agency, Artificial intelligence","Ankara, Turkey, Asia",,true,true,
Heoxa,https://www.heoxa.com,,,,,2021-01-01,,AI-powered online education platform,https://www.heoxa.com,,"Edutech, Artificial intelligence, SaaS","Bursa, Turkey, Asia",,true,true,
Morla Moves,https://www.morlamoves.com,,,,,2021-01-01,,AI fitness partner,https://www.morlamoves.com,,"Fitness, Artificial intelligence","Amsterdam, The Netherlands, Asia",,true,true,
Yesil Health AI,https://yesilhealth.com,,,,,2021-01-01,,LLM-powered assistant for all health questions and evidence-based answers,https://yesilhealth.com,,"Well-being, Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",,true,true,
Scooch,https://scooch.pet,,,,,2021-01-01,,All-in-one app for pet healthcare,https://scooch.pet,,"Pet, Artificial intelligence","London, UK, Asia",,true,true,
Cathoven AI,https://www.cathoven.com,,,,,2021-01-01,,AI-powered smart solutions for foreign language learning applications,https://www.cathoven.com,,"Edutech, Artificial intelligence","Austin, USA, Asia",,true,true,
Sincapp Tech,https://www.sincapptech.com,,,,,2021-01-01,,AI app development services,https://www.sincapptech.com,,"Agency, Artificial intelligence","London, UK, Asia",,true,true,
Superbio.ai,http://superbio.ai,,,,,2021-01-01,,AI marketplace for life sciences,http://superbio.ai,,"Marketplace, Biotech, Artificial intelligence","Palo Alto, USA, Asia",,true,true,
Eslex,https://www.eslex.com.tr,,,,,2021-01-01,,"Web and mobile application development, artificial intelligence, big data analytics and cloud-based solutions",https://www.eslex.com.tr,,"Agency, Big data, Artificial intelligence","Malatya, Turkey, Asia",,true,true,
Polygraf AI,https://polygraf.ai,Seed,9500000,USD,9500000,2021-01-01,Seed,"Advanced AI-native solutions to combat AI-driven fraud, data leaks, and compliance risks",https://polygraf.ai,1,Artificial intelligence,"Austin, USA, Asia",,true,true,
Telescope,https://www.thetelescope.ai,Seed,200000,USD,200000,2021-01-01,Seed,It builds AI-powered consumer behavior solutions,https://www.thetelescope.ai,1,"Marketingtech, Artificial intelligence","London, UK, Asia",,true,true,
dataSpecta,https://dataspecta.com,,,,,2021-01-01,,"Solutions that combine data, business intelligence, and AI",https://dataspecta.com,,"Big data, Artificial intelligence, Business intelligence","Istanbul, Turkey, Asia",,true,true,
Visseria Teknoloji,https://visseria.com,,,,,2021-01-01,,Artificial intelligence-powered software solutions,https://visseria.com,,"Agency, Artificial intelligence","Kayseri, Turkey, Asia",,true,true,
CarPal AI,https://www.getcarpal.com,,,,,2021-01-01,,Artificial intelligence technology that makes cars smart and allows drivers to purchase the services they need with their car through an app,https://www.getcarpal.com,,"Artificial intelligence, Autotech","Round Rock, USA, Asia",,true,true,
Breathment,https://breathment.com,Seed,940000,USD,940000,2021-01-01,Seed,AI-based software that digitizes pulmonary rehabilitation for health professionals and their patients,https://breathment.com,1,"Artificial intelligence, Healthtech","München, Germany, Asia",,true,true,
Pigon Teknoloji,https://www.pigontech.com,,,,,2021-01-01,,"Software development, industrial integration, artificial intelligence, digital transformation, advanced technology integration and industry 4.0 services",https://www.pigontech.com,,"Industry40, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
Glosa,https://glosa.ai,,,,,2021-01-01,,"Generative AI and Agentic AI solutions, accelerating digital transformation for organizations across banking, finance, healthcare, and sustainability sectors",https://glosa.ai,,Artificial intelligence,"Heidelberg, Germany, Asia",,true,true,
Ming,https://www.mingapp.co,,,,,2021-01-01,,Mobile application that brings together all employees within the company on a single platform,https://www.mingapp.co,,"Artificial intelligence, SaaS","Istanbul, Turkey, Asia",,true,true,
Zen Arge Yazılım,https://zenyazilim.com.tr,,,,,2021-01-01,,"Solutions in precision agriculture, dairy farming and medical image analysis",https://zenyazilim.com.tr,,"Internet of things, Artificial intelligence, Agritech","Tokat, Turkey, Asia",,true,true,
Işık Teknoloji,https://www.isiktekno.com.tr,,,,,2021-01-01,,Artificial intelligence and software development services,https://www.isiktekno.com.tr,,"Agency, Artificial intelligence","Burdur, Turkey, Asia",,true,true,
MetaEntry,https://www.metaentry.io,,,,,2021-01-01,,"Photorealistic 3D scanning, modeling and visualization systems and services in the field of digital twins",https://www.metaentry.io,,"Metaverse, Artificial intelligence","Ankara, Turkey, Asia",,true,true,
FARMO,https://www.farmosystems.com,Pre-Seed,25700,USD,25700,2021-01-01,Pre-Seed,Develops agricultural robots through image processing supported artificial intelligence,https://www.farmosystems.com,1,"Image process, Robotics, Artificial intelligence, Agritech","Istanbul, Turkey, Asia",,true,true,
Chex,https://chex.com.tr,,,,,2021-01-01,,"For food and beverage manufacturers and brands; real-time data tracking from on-trade points, advertising channel and distribution optimization",https://chex.com.tr,,"Restaurant, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
Pricing Coach,https://pricing-coach.com,Seed,1100000,USD,1100000,2021-01-01,Seed,Artificial intelligence technologies to implement dynamic pricing across various industries,https://pricing-coach.com,1,Artificial intelligence,"Istanbul, Turkey, Asia",,true,true,
Imperum,https://www.imperum.io,,,,,2021-01-01,,AI-driven SOC platform,https://www.imperum.io,,"Cybersecurity, Artificial intelligence","Amsterdam, The Netherlands, Asia",,true,true,
GreenFi,https://greenfi.ai,,,,,2021-01-01,,ESG due diligence and risk assessment software,https://greenfi.ai,,"Sustainability, Fintech, Artificial intelligence, SaaS","Singapore (City), Singapore, Asia",,true,true,
HistoCan,,,,,,2021-01-01,,AI-based digital pathology start-up offering solutions for cancer diagnosis using histopathology slides,,,"Artificial intelligence, Healthtech","Ankara, Turkey, Asia",,true,true,
fal,https://fal.ai,Series D,140000000,USD,140000000,2021-01-01,Late Stage Venture,Generative media platform for developers,https://fal.ai,1,"Media, Artificial intelligence, Developer Tools","San Francisco, USA, Asia",,true,true,
Zihinler FORA,https://www.zihinlerfora.com,,,,,2021-01-01,,Mind mapping trainings and software solutions,https://www.zihinlerfora.com,,"Edutech, Artificial intelligence","Ankara, Turkey, Asia",,true,true,
Wellztech,https://wellztech.com,,,,,2021-01-01,,B2B artificial intelligence solutions,https://wellztech.com,,"Agency, Deeptech, Artificial intelligence","Ankara, Turkey, Asia",,true,true,
Local US,https://www.localus.com.tr,,,,,2021-01-01,,"Artificial intelligence, advanced data analytics, open source databases and microservices architecture services",https://www.localus.com.tr,,"Agency, Big data, Artificial intelligence","Ankara, Turkey, Asia",,true,true,
Cognizen,https://www.cognizen.ai,,,,,2021-01-01,,Developer of teaching assistants and AI tools for personal learning,https://www.cognizen.ai,,"Edutech, Artificial intelligence","Ankara, Turkey, Asia",,true,true,
Alcyno,https://alcyno.com,,,,,2021-01-01,,"Data architecture and planning, cloud & digital transformation, graph database services, big data intelligence and AI solutions",https://alcyno.com,,"Big data, Artificial intelligence","Ankara, Turkey, Asia",,true,true,
AKASU,https://www.akasulama.com,,,,,2021-01-01,,Artificial intelligence supported smart agricultural irrigation systems,https://www.akasulama.com,,"Sustainability, Artificial intelligence, Agritech","Izmir, Turkey, Asia",,true,true,
Zingly.ai,https://www.zingly.ai,,,,,2021-01-01,,"Integrates GenAI, humans, and data for seamless, personalized customer interactions, building lasting relationships and improved CX",https://www.zingly.ai,,"Customer experience, Artificial intelligence","San Francisco, USA, Asia",,true,true,
