Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Organization Description,Organization Website,Number of Funding Rounds,Organization Industries,Organization Location,Lead Investors
BigTRI,https://bigtri.net,,,,,2020-01-01,,"Machine learning/AI, image processing, and IoT solutions",https://bigtri.net,,"Internet of things, Image process, Artificial intelligence","Istanbul, Turkey, Asia",
Kalybe.AI,https://kalybeai.com,,,,,2020-01-01,,AI-powered software and technical solutions to companies who want to leverage data,https://kalybeai.com,,Artificial intelligence,"Izmir, Turkey, Asia",
UrbanGaff,https://www.urbangaff.com,,,,,2020-01-01,,AI supported product for the estate agents,https://www.urbangaff.com,,"Artificial intelligence, SaaS, Proptech","Istanbul, Turkey, Asia",
Inodash,https://www.inodash.com,,,,,2020-01-01,,"Platform that enables teams to collaborate, manage their tasks and achieve their goals",https://www.inodash.com,,"Artificial intelligence, SaaS","London, UK, Asia",
Hagia,https://www.hagiaproject.com,,,,,2020-01-01,,AI & Web3 studio,https://www.hagiaproject.com,,"Web3, Agency, Artificial intelligence","Istanbul, Turkey, Asia",
Dataçarşı,https://datacarsi.com,,,,,2020-01-01,,"Website design, SEO, graphic design, artificial intelligence, business intelligence and mobile application development services",https://datacarsi.com,,"Agency, Artificial intelligence, Business intelligence","Kayseri, Turkey, Asia",
Notitek Software,https://www.notitek.com.tr,,,,,2020-01-01,,RPA solutions,https://www.notitek.com.tr,,"Artificial intelligence, Business intelligence","Izmir, Turkey, Asia",
Labornia,http://www.labornia.com,,,,,2020-01-01,,"Big data analytics, artificial intelligence and machine learning solutions",http://www.labornia.com,,"Big data, Artificial intelligence","Kırıkkale, Turkey, Asia",
Biperhiz,https://www.biperhiz.com,,,,,2020-01-01,,AI supported virtual dietitian developed for society and public health,https://www.biperhiz.com,,"Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",
Plunom Technologies,https://plunom.com,,,,,2020-01-01,,"Software development services, ERP,RPA, supply chain processes and industry 4.0 solutions",https://plunom.com,,"Industry40, Artificial intelligence, Business intelligence","Istanbul, Turkey, Asia",
Wiser Tech,https://www.wisertech.ai,,,,,2020-01-01,,Textile technologies incorporated with artificial intelligence and machine learning,https://www.wisertech.ai,,"Textile, Artificial intelligence","Izmir, Turkey, Asia",
6Zeka,https://6zeka.com,,,,,2020-01-01,,"Real-time data, machine learning solutions",https://6zeka.com,,"Agency, Big data, Artificial intelligence","Antalya, Turkey, Asia",
mutlumesaj,https://www.mutlumesaj.com.tr,Equity Crowdfunding,230738,USD,230738,2020-01-01,Seed,AI-supported app that delivers the motivation and support that people need in their daily lives,https://www.mutlumesaj.com.tr,1,"Well-being, Artificial intelligence","Istanbul, Turkey, Asia",
Jetmaster,https://www.jetmaster.com.tr,,,,,2020-01-01,,Artificial intelligence based jet filter control systems,https://www.jetmaster.com.tr,,"Electronics, Artificial intelligence","Konya, Turkey, Asia",
AutoDidactic Technologies,https://www.autodidactic.com.tr,,,,,2020-01-01,,Artificial intelligence and defense industry solutions,https://www.autodidactic.com.tr,,"Military, Artificial intelligence","Konya, Turkey, Asia",
DraftWise,https://www.draftwise.com,Series A,20000000,USD,20000000,2020-01-01,Early Stage Venture,"Platform to help search, discover, analyze and review precedent contracts",https://www.draftwise.com,1,"Legaltech, Artificial intelligence, SaaS","New York, USA, Asia",
Cosmodot,https://www.thecosmodot.com,,,,,2020-01-01,,"Industrial traceability products and platform, the creator of the CDOT AI Code and the CTRACE platform",https://www.thecosmodot.com,,"Industry40, Artificial intelligence, Business intelligence","Miami, USA, Asia",
SmartInfo,https://smartinfo.com.tr,,,,,2020-01-01,,"Data analysis, artificial intelligence and business intelligence solutions",https://smartinfo.com.tr,,"Big data, Artificial intelligence, Business intelligence","Istanbul, Turkey, Asia",
Pointee,https://www.pointee.com,Seed,1480570,USD,1480570,2020-01-01,Seed,RPA maintenance and improvement platform,https://www.pointee.com,1,"Artificial intelligence, SaaS","Prague, Czech Republic, Asia",
Oniki,https://oniki.net,,,,,2020-01-01,,Hybrid event technology that makes B2B matchmaking powered by artificial intelligence,https://oniki.net,,"Event, Artificial intelligence","Istanbul, Turkey, Asia",
Konnektom Data Works,https://konnektom.net,,,,,2020-01-01,,Smart decision solutions for finance and retail,https://konnektom.net,,"Fintech, Artificial intelligence, Business intelligence","Istanbul, Turkey, Asia",
Parton,https://partonbigdata.com,,,,,2020-01-01,,Big data analytics,https://partonbigdata.com,,"Big data, Artificial intelligence, Business intelligence","Istanbul, Turkey, Asia",
ALGOMIM,https://www.algomim.com,,,,,2020-01-01,,Data-driven architectural project development with artificial intelligence support,https://www.algomim.com,,"Agency, Constructiontech, Artificial intelligence","Ankara, Turkey, Asia",
Öneri Sistemi,https://oneri.io,,,,,2020-01-01,,Artificial intelligence and machine learning supported recommendation system solution suitable for blue-collar and white-collar employee structure,https://oneri.io,,"Hrtech, Artificial intelligence","Istanbul, Turkey, Asia",
Yeditek,https://yeditek.com,,,,,2020-01-01,,Industrial image processing and artificial intelligence solutions,https://yeditek.com,,"Image process, Robotics, Artificial intelligence","Bursa, Turkey, Asia",
Novus,https://www.novusasi.com,Bridge,250000,USD,250000,2020-01-01,Early Stage Venture,Content creation through customized AI technology,https://www.novusasi.com,1,"Content, Artificial intelligence","Cambridge, USA, Asia",
OGZA Teknoloji,http://www.ogzatech.com,,,,,2020-01-01,,"Artificial intelligence, image processing, mobile application development",http://www.ogzatech.com,,"Industry40, Image process, Artificial intelligence","Istanbul, Turkey, Asia",
Quin AI,https://www.quinengine.com,Seed,1960000,USD,1960000,2020-01-01,Seed,Predictive AI tool for low-touch digital selling and engagement,https://www.quinengine.com,1,"Marketingtech, Artificial intelligence","London, UK, Asia",
DataFors,https://datafors.com,,,,,2020-01-01,,Data analytics solutions,https://datafors.com,,Artificial intelligence,"Istanbul, Turkey, Asia",
Octai,https://octai.com,,,,,2020-01-01,,Data-driven technology solutions using artificial intelligence methods,https://octai.com,,Artificial intelligence,"Istanbul, Turkey, Asia",
MaM High Tech,https://www.mamhightech.com,,,,,2020-01-01,,Power systems and electronic sensors developer,https://www.mamhightech.com,,"Blockchain, Artificial intelligence","Ankara, Turkey, Asia",
Rortech,https://www.rortech.com.tr,,,,,2020-01-01,,Control systems for business and construction machinery,https://www.rortech.com.tr,,"Robotics, Constructiontech, Artificial intelligence","Ankara, Turkey, Asia",
Indevo Technology,https://www.indevo.com.tr,,,,,2020-01-01,,"Software and hardware solutions in the fields of wearable technology, AI, game technologies, VR/AR",https://www.indevo.com.tr,,"Wearable, AR / VR, Artificial intelligence","Gaziantep, Turkey, Asia",
Zentech,https://zenteknoloji.com,,,,,2020-01-01,,"Website, PCB board, 3D modeling, graphic designs and software development services",https://zenteknoloji.com,,"Agency, Artificial intelligence","Isparta, Turkey, Asia",
SimurgAI,https://www.simurgai.com,,,,,2020-01-01,,Software solutions,https://www.simurgai.com,,"Agency, Artificial intelligence","Karabük, Turkey, Asia",
Radiologics,https://www.radiologics.ai,,,,,2020-01-01,,Radiology solutions powered with A.I.,https://www.radiologics.ai,,"Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",
my.mouth,https://www.mymouth.org,,,,,2020-01-01,,AI powered systems for oral healthcare,https://www.mymouth.org,,"Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",
Anari AI,https://anari.ai,Seed,2000000,USD,2000000,2020-01-01,Seed,Computation platform for AI,https://anari.ai,1,Artificial intelligence,"San Francisco, USA, Asia",
Codeway Studios,https://www.codeway.co,,,,,2020-01-01,,Mobile apps,https://www.codeway.co,,Artificial intelligence,"Istanbul, Turkey, Asia",
Exairon,https://exairon.com,Seed,135000,USD,135000,2020-01-01,Seed,Autonomous customer experience solutions,https://exairon.com,1,"Customer experience, Artificial intelligence, SaaS","Istanbul, Turkey, Asia",
Pharmaino,https://pharmaino.com,,,,,2020-01-01,,Solutions to needs in the field of pharmacy and health,https://pharmaino.com,,"Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",
Doctus AI,https://www.doctusai.com,,,,,2020-01-01,,AI-Powered decision support,https://www.doctusai.com,,Artificial intelligence,"Los Angeles, USA, Asia",
nexizon,https://www.nexizon.com,,,,,2020-01-01,,Artificial intelligence systems and image processing technologies,https://www.nexizon.com,,"Image process, Artificial intelligence","Ankara, Turkey, Asia",
GENRPA,https://genrpa.com,,,,,2020-01-01,,Robotic automation solutions,https://genrpa.com,,"Agency, Artificial intelligence","Istanbul, Turkey, Asia",
Rnv.ai,https://rnv.ai,Seed,1102550,USD,1102550,2020-01-01,Seed,Tools and analyses to discover customer insights,https://rnv.ai,1,"Agency, Retailtech, Artificial intelligence","Istanbul, Turkey, Asia",
Bomensoft,https://bomensoft.com,,,,,2020-01-01,,"AI solutions based on NLP, DL, GPU-based systems and technologies",https://bomensoft.com,,"Internet of things, Edutech, Deeptech, Artificial intelligence","London, UK, Asia",
Pusula.ai,http://www.pusula.ai,,,,,2020-01-01,,Predictive decision mechanism software using algorithms based on artificial intelligence,http://www.pusula.ai,,"Big data, Artificial intelligence","Istanbul, Turkey, Asia",
AiHear,https://www.aiheartech.com,Equity Crowdfunding,90069,USD,90069,2020-01-01,Seed,Artificial intelligence assisted medical technologies in the field of audiology,https://www.aiheartech.com,1,"AR / VR, Biotech, Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",
Formica,https://www.formica.ai,,,,,2020-01-01,,Cloud-native data platform with machine learning,https://www.formica.ai,,"Big data, Fintech, Artificial intelligence","Istanbul, Turkey, Asia",
MYTH AI,https://myth-ai.com,Post-Seed,304500,USD,304500,2020-01-01,Seed,Artificial intelligence-based pattern design tool that brings together designers and businesses,https://myth-ai.com,1,"Industry40, Textile, Artificial intelligence","Istanbul, Turkey, Asia",
Uptecra,https://uptecra.com,Pre-Seed,100000,USD,100000,2020-01-01,Pre-Seed,Software solutions for corporate companies,https://uptecra.com,1,"Internet of things, Artificial intelligence, Autotech","Istanbul, Turkey, Asia",
CranioCatch,https://www.craniocatch.com,Equity Crowdfunding,88400,USD,88400,2020-01-01,Seed,AI solution for dento-maxillofacial radiology,https://www.craniocatch.com,1,"Artificial intelligence, Healthtech","Eskişehir, Turkey, Asia",
Zoi Data,https://www.zoidata.com,,,,,2020-01-01,,Machine learning solutions,https://www.zoidata.com,,Artificial intelligence,"Izmir, Turkey, Asia",
Voyager Robotics,https://voyagerrobotics.com,,,,,2020-01-01,,Peer-to-peer autonomous drone delivery,https://voyagerrobotics.com,,"Robotics, Logistics, Artificial intelligence, Unmanned vehicle","Istanbul, Turkey, Asia",
DeepSport,https://deepsportapp.com,Seed,85000,USD,85000,2020-01-01,Seed,AI-based digital trainer,https://deepsportapp.com,1,"Fitness, Image process, Sports, Artificial intelligence","Istanbul, Turkey, Asia",
Bridgesoft,https://www.bridgesoft.com.tr,Seed,300686,USD,300686,2020-01-01,Seed,Develops agri-tech projects with AI and IoT to increase operational efficiency in agriculture,https://www.bridgesoft.com.tr,1,"Climatetech, Deeptech, Artificial intelligence, Agritech","Kocaeli, Turkey, Asia",
Cerebrum Tech,https://www.cerebrumtechnologies.com,Post-Seed,1800000,USD,1800000,2020-01-01,Seed,Digital transformation solutions,https://www.cerebrumtechnologies.com,1,"Agency, Artificial intelligence","Ankara, Turkey, Asia",
MOVE ON,https://moveon.ai,Seed,250611,USD,250611,2020-01-01,Seed,Agricultural AI & autonomy,https://moveon.ai,1,"Climatetech, Big data, Artificial intelligence, Agritech","Istanbul, Turkey, Asia",
Sweephy,https://www.sweephy.com,SAFE,130238,USD,130238,2020-01-01,Pre-Seed,Data cleaning and preparation platform,https://www.sweephy.com,1,Artificial intelligence,"Istanbul, Turkey, Asia",
Adsby,https://adsby.co,Seed,174000,USD,174000,2020-01-01,Seed,All in one digital marketing solution,https://adsby.co,1,"Advertising, Marketingtech, Artificial intelligence","Istanbul, Turkey, Asia",
Arventek,https://www.arventek.com,Seed,100000,USD,100000,2020-01-01,Seed,"Processes images from drones to create real-time digital twins of sites, provides site progress tracking",https://www.arventek.com,1,"Constructiontech, Deeptech, Artificial intelligence, Unmanned vehicle","Istanbul, Turkey, Asia",
Screpy,https://screpy.com,,,,,2020-01-01,,AI based SEO and web analysis tool,https://screpy.com,,"Artificial intelligence, SaaS","Newark, USA, Asia",
Base64.ai,https://base64.ai,Seed,1800000,USD,1800000,2020-01-01,Seed,AI-powered document processing,https://base64.ai,1,"Artificial intelligence, SaaS","New York, USA, Asia",
İstanbulAI,https://istanbulai.com,,,,,2020-01-01,,Artificial intelligence supported software solutions,https://istanbulai.com,,"Textile, Artificial intelligence","Kocaeli, Turkey, Asia",
Visight,https://www.visight.com.tr,,,,,2020-01-01,,"Artificial vision, image processing and artificial intelligence solutions",https://www.visight.com.tr,,"Agency, Image process, Artificial intelligence","Kocaeli, Turkey, Asia",
Cevelyn,https://www.cevelyn.com,,,,,2020-01-01,,Artificial Intelligence based emotion-aware personalized music composer,https://www.cevelyn.com,,"Music, Artificial intelligence","Izmir, Turkey, Asia",
Pivony,https://www.pivony.com,Pre-Seed,100000,USD,100000,2020-01-01,Pre-Seed,AI driven insights and marketing platform,https://www.pivony.com,1,"Marketingtech, Artificial intelligence, SaaS","Philadelphia, USA, Asia",
Futureheal,https://futureheal.com,,,,,2020-01-01,,Personalized diagnosis and treatment AI solutions,https://futureheal.com,,"Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",
ingosa,https://www.ingosa.ai,Seed,100000,USD,100000,2020-01-01,Seed,Chatbot management tool,https://www.ingosa.ai,1,"Marketingtech, Artificial intelligence","Istanbul, Turkey, Asia",
FineSci,https://www.finesci.com,,,,,2020-01-01,,"AI, big data and cyber security solutions",https://www.finesci.com,,"Big data, Cybersecurity, Artificial intelligence","Istanbul, Turkey, Asia",
